Sample	Family.ID	SubPopulation	Population.Description	Gender	Population
HG00238	HG00238	GBR	British in England and Scotland	female	EUR
HG00239	HG00239	GBR	British in England and Scotland	female	EUR
HG00240	HG00240	GBR	British in England and Scotland	female	EUR
HG00242	HG00242	GBR	British in England and Scotland	male	EUR
HG00243	HG00243	GBR	British in England and Scotland	male	EUR
HG00244	HG00244	GBR	British in England and Scotland	male	EUR
HG00231	HG00231	GBR	British in England and Scotland	female	EUR
HG00232	HG00232	GBR	British in England and Scotland	female	EUR
HG00233	HG00233	GBR	British in England and Scotland	female	EUR
HG00234	HG00234	GBR	British in England and Scotland	male	EUR
HG00235	HG00235	GBR	British in England and Scotland	female	EUR
HG00236	HG00236	GBR	British in England and Scotland	female	EUR
HG00237	HG00237	GBR	British in England and Scotland	female	EUR
HG00252	HG00252	GBR	British in England and Scotland	male	EUR
HG00253	HG00253	GBR	British in England and Scotland	female	EUR
HG00254	HG00254	GBR	British in England and Scotland	female	EUR
HG04303	HG04303	GBR	British in England and Scotland	female	EUR
HG01334	HG01334	GBR	British in England and Scotland	male	EUR
HG02215	HG02215	GBR	British in England and Scotland	female	EUR
HG00245	HG00245	GBR	British in England and Scotland	female	EUR
HG00246	HG00246	GBR	British in England and Scotland	male	EUR
HG00247	GBR004	GBR	British in England and Scotland	female	EUR
HG00248	GBR004	GBR	British in England and Scotland	female	EUR
HG00249	HG00249	GBR	British in England and Scotland	female	EUR
HG00250	HG00250	GBR	British in England and Scotland	female	EUR
HG00251	HG00251	GBR	British in England and Scotland	male	EUR
HG01791	HG01791	GBR	British in England and Scotland	male	EUR
HG04301	HG04301	GBR	British in England and Scotland	female	EUR
HG04302	HG04302	GBR	British in England and Scotland	male	EUR
HG01790	HG01790	GBR	British in England and Scotland	female	EUR
HG01789	HG01789	GBR	British in England and Scotland	male	EUR
NA20845	NA20845	GIH	Gujarati Indian in Houston,TX	male	SAS
NA20846	NA20846	GIH	Gujarati Indian in Houston,TX	male	SAS
NA20847	NA20847	GIH	Gujarati Indian in Houston,TX	female	SAS
NA20849	NA20849	GIH	Gujarati Indian in Houston,TX	female	SAS
NA20850	NA20850	GIH	Gujarati Indian in Houston,TX	male	SAS
NA20851	NA20851	GIH	Gujarati Indian in Houston,TX	female	SAS
NA20852	NA20852	GIH	Gujarati Indian in Houston,TX	male	SAS
NA20853	NA20853	GIH	Gujarati Indian in Houston,TX	female	SAS
NA20854	NA20854	GIH	Gujarati Indian in Houston,TX	female	SAS
NA20856	NA20856	GIH	Gujarati Indian in Houston,TX	female	SAS
NA20858	NA20858	GIH	Gujarati Indian in Houston,TX	male	SAS
NA20859	NA20859	GIH	Gujarati Indian in Houston,TX	female	SAS
NA20861	NA20861	GIH	Gujarati Indian in Houston,TX	male	SAS
NA20862	NA20862	GIH	Gujarati Indian in Houston,TX	female	SAS
NA20863	NA20863	GIH	Gujarati Indian in Houston,TX	male	SAS
NA20864	NA20864	GIH	Gujarati Indian in Houston,TX	male	SAS
NA20866	NA20866	GIH	Gujarati Indian in Houston,TX	male	SAS
NA20867	NA20867	GIH	Gujarati Indian in Houston,TX	male	SAS
NA20868	GIH001	GIH	Gujarati Indian in Houston,TX	female	SAS
NA20869	NA20869	GIH	Gujarati Indian in Houston,TX	female	SAS
NA20870	NA20870	GIH	Gujarati Indian in Houston,TX	male	SAS
NA20871	GIH001	GIH	Gujarati Indian in Houston,TX	male	SAS
NA20872	NA20872	GIH	Gujarati Indian in Houston,TX	female	SAS
NA20873	NA20873	GIH	Gujarati Indian in Houston,TX	male	SAS
NA20874	NA20874	GIH	Gujarati Indian in Houston,TX	female	SAS
NA20875	NA20875	GIH	Gujarati Indian in Houston,TX	female	SAS
NA20876	NA20876	GIH	Gujarati Indian in Houston,TX	female	SAS
NA20877	NA20877	GIH	Gujarati Indian in Houston,TX	female	SAS
NA20878	NA20878	GIH	Gujarati Indian in Houston,TX	female	SAS
NA20879	NA20879	GIH	Gujarati Indian in Houston,TX	female	SAS
NA20881	NA20881	GIH	Gujarati Indian in Houston,TX	female	SAS
NA20882	NA20882	GIH	Gujarati Indian in Houston,TX	female	SAS
NA20883	NA20883	GIH	Gujarati Indian in Houston,TX	male	SAS
NA20884	NA20884	GIH	Gujarati Indian in Houston,TX	male	SAS
NA20885	NA20885	GIH	Gujarati Indian in Houston,TX	male	SAS
NA20886	GIH002	GIH	Gujarati Indian in Houston,TX	female	SAS
NA20887	NA20887	GIH	Gujarati Indian in Houston,TX	male	SAS
NA20888	NA20888	GIH	Gujarati Indian in Houston,TX	female	SAS
NA20889	NA20889	GIH	Gujarati Indian in Houston,TX	male	SAS
NA20890	NA20890	GIH	Gujarati Indian in Houston,TX	male	SAS
NA20891	NA20891	GIH	Gujarati Indian in Houston,TX	male	SAS
NA20892	NA20892	GIH	Gujarati Indian in Houston,TX	female	SAS
NA20893	NA20893	GIH	Gujarati Indian in Houston,TX	female	SAS
NA20894	NA20894	GIH	Gujarati Indian in Houston,TX	female	SAS
NA20895	NA20895	GIH	Gujarati Indian in Houston,TX	male	SAS
NA20896	NA20896	GIH	Gujarati Indian in Houston,TX	female	SAS
NA20897	NA20897	GIH	Gujarati Indian in Houston,TX	male	SAS
NA20898	GIH002	GIH	Gujarati Indian in Houston,TX	male	SAS
NA20899	NA20899	GIH	Gujarati Indian in Houston,TX	female	SAS
NA20900	NA20900	GIH	Gujarati Indian in Houston,TX	female	SAS
NA20901	NA20901	GIH	Gujarati Indian in Houston,TX	male	SAS
NA20902	NA20902	GIH	Gujarati Indian in Houston,TX	female	SAS
NA20903	NA20903	GIH	Gujarati Indian in Houston,TX	male	SAS
NA20904	NA20904	GIH	Gujarati Indian in Houston,TX	male	SAS
NA20905	NA20905	GIH	Gujarati Indian in Houston,TX	male	SAS
NA20906	NA20906	GIH	Gujarati Indian in Houston,TX	female	SAS
NA20907	NA20907	GIH	Gujarati Indian in Houston,TX	female	SAS
NA20908	NA20908	GIH	Gujarati Indian in Houston,TX	female	SAS
NA20909	GIH003	GIH	Gujarati Indian in Houston,TX	male	SAS
NA20910	GIH003	GIH	Gujarati Indian in Houston,TX	female	SAS
NA20911	NA20911	GIH	Gujarati Indian in Houston,TX	male	SAS
NA21086	NA21086	GIH	Gujarati Indian in Houston,TX	female	SAS
NA21087	NA21087	GIH	Gujarati Indian in Houston,TX	male	SAS
NA21088	NA21088	GIH	Gujarati Indian in Houston,TX	female	SAS
NA21089	NA21089	GIH	Gujarati Indian in Houston,TX	female	SAS
NA21090	NA21090	GIH	Gujarati Indian in Houston,TX	male	SAS
NA21091	NA21091	GIH	Gujarati Indian in Houston,TX	male	SAS
NA21092	NA21092	GIH	Gujarati Indian in Houston,TX	male	SAS
NA21093	NA21093	GIH	Gujarati Indian in Houston,TX	male	SAS
NA21094	NA21094	GIH	Gujarati Indian in Houston,TX	male	SAS
NA21095	NA21095	GIH	Gujarati Indian in Houston,TX	male	SAS
NA21097	NA21097	GIH	Gujarati Indian in Houston,TX	female	SAS
NA21098	NA21098	GIH	Gujarati Indian in Houston,TX	male	SAS
NA21099	NA21099	GIH	Gujarati Indian in Houston,TX	male	SAS
NA21100	NA21100	GIH	Gujarati Indian in Houston,TX	male	SAS
NA21101	NA21101	GIH	Gujarati Indian in Houston,TX	female	SAS
NA21102	NA21102	GIH	Gujarati Indian in Houston,TX	female	SAS
NA21103	NA21103	GIH	Gujarati Indian in Houston,TX	female	SAS
NA21104	NA21104	GIH	Gujarati Indian in Houston,TX	male	SAS
NA21105	NA21105	GIH	Gujarati Indian in Houston,TX	male	SAS
NA21106	NA21106	GIH	Gujarati Indian in Houston,TX	female	SAS
NA21107	NA21107	GIH	Gujarati Indian in Houston,TX	male	SAS
NA21108	NA21108	GIH	Gujarati Indian in Houston,TX	female	SAS
NA21109	NA21109	GIH	Gujarati Indian in Houston,TX	male	SAS
NA21110	NA21110	GIH	Gujarati Indian in Houston,TX	female	SAS
NA21111	NA21111	GIH	Gujarati Indian in Houston,TX	male	SAS
NA21112	NA21112	GIH	Gujarati Indian in Houston,TX	male	SAS
NA21113	NA21113	GIH	Gujarati Indian in Houston,TX	male	SAS
NA21114	NA21114	GIH	Gujarati Indian in Houston,TX	male	SAS
NA21115	NA21115	GIH	Gujarati Indian in Houston,TX	male	SAS
NA21116	NA21116	GIH	Gujarati Indian in Houston,TX	male	SAS
NA21117	NA21117	GIH	Gujarati Indian in Houston,TX	male	SAS
NA21118	NA21118	GIH	Gujarati Indian in Houston,TX	male	SAS
NA21119	NA21119	GIH	Gujarati Indian in Houston,TX	male	SAS
NA21120	NA21120	GIH	Gujarati Indian in Houston,TX	female	SAS
NA21121	NA21121	GIH	Gujarati Indian in Houston,TX	female	SAS
NA21122	NA21122	GIH	Gujarati Indian in Houston,TX	female	SAS
NA21123	NA21123	GIH	Gujarati Indian in Houston,TX	male	SAS
NA21124	NA21124	GIH	Gujarati Indian in Houston,TX	male	SAS
NA21125	NA21125	GIH	Gujarati Indian in Houston,TX	female	SAS
NA21126	NA21126	GIH	Gujarati Indian in Houston,TX	male	SAS
NA21127	NA21127	GIH	Gujarati Indian in Houston,TX	male	SAS
NA21128	NA21128	GIH	Gujarati Indian in Houston,TX	male	SAS
NA21129	NA21129	GIH	Gujarati Indian in Houston,TX	male	SAS
NA21130	NA21130	GIH	Gujarati Indian in Houston,TX	male	SAS
NA21133	NA21133	GIH	Gujarati Indian in Houston,TX	male	SAS
NA21134	NA21134	GIH	Gujarati Indian in Houston,TX	male	SAS
NA21135	NA21135	GIH	Gujarati Indian in Houston,TX	male	SAS
NA21137	NA21137	GIH	Gujarati Indian in Houston,TX	female	SAS
NA21141	NA21141	GIH	Gujarati Indian in Houston,TX	female	SAS
NA21142	NA21142	GIH	Gujarati Indian in Houston,TX	female	SAS
NA21143	NA21143	GIH	Gujarati Indian in Houston,TX	female	SAS
NA21144	NA21144	GIH	Gujarati Indian in Houston,TX	female	SAS
HG02620	GB31	GWD	Gambian in Western Division, The Gambia	male	AFR
HG02769	GB57	GWD	Gambian in Western Division, The Gambia	female	AFR
HG02621	GB31	GWD	Gambian in Western Division, The Gambia	female	AFR
HG02583	GB23	GWD	Gambian in Western Division, The Gambia	female	AFR
HG02567	GB20	GWD	Gambian in Western Division, The Gambia	male	AFR
HG02717	GB50	GWD	Gambian in Western Division, The Gambia	male	AFR
HG02563	GB18	GWD	Gambian in Western Division, The Gambia	male	AFR
HG02582	GB23	GWD	Gambian in Western Division, The Gambia	male	AFR
HG02461	GB15	GWD	Gambian in Western Division, The Gambia	male	AFR
HG02584	GB23	GWD	Gambian in Western Division, The Gambia	male	AFR
HG02622	GB31	GWD	Gambian in Western Division, The Gambia	female	AFR
HG02569	GB20	GWD	Gambian in Western Division, The Gambia	male	AFR
HG02570	GB21	GWD	Gambian in Western Division, The Gambia	male	AFR
HG02615	GB29	GWD	Gambian in Western Division, The Gambia	female	AFR
HG02721	GB52	GWD	Gambian in Western Division, The Gambia	male	AFR
HG02575	GB22	GWD	Gambian in Western Division, The Gambia	male	AFR
HG02680	GB44	GWD	Gambian in Western Division, The Gambia	female	AFR
HG02806	GB62	GWD	Gambian in Western Division, The Gambia	female	AFR
HG02678	GB44	GWD	Gambian in Western Division, The Gambia	male	AFR
HG02679	GB44	GWD	Gambian in Western Division, The Gambia	female	AFR
HG02465	GB16	GWD	Gambian in Western Division, The Gambia	female	AFR
HG02466	GB16	GWD	Gambian in Western Division, The Gambia	male	AFR
HG02807	GB63	GWD	Gambian in Western Division, The Gambia	male	AFR
HG02568	GB20	GWD	Gambian in Western Division, The Gambia	female	AFR
HG02613	GB29	GWD	Gambian in Western Division, The Gambia	male	AFR
HG02614	GB29	GWD	Gambian in Western Division, The Gambia	female	AFR
HG02677	GB43	GWD	Gambian in Western Division, The Gambia	female	AFR
HG02768	GB57	GWD	Gambian in Western Division, The Gambia	male	AFR
HG02642	GB37	GWD	Gambian in Western Division, The Gambia	male	AFR
HG02643	GB37	GWD	Gambian in Western Division, The Gambia	female	AFR
HG02644	GB37	GWD	Gambian in Western Division, The Gambia	male	AFR
HG02645	GB38	GWD	Gambian in Western Division, The Gambia	male	AFR
HG02623	GB32	GWD	Gambian in Western Division, The Gambia	male	AFR
HG02624	GB32	GWD	Gambian in Western Division, The Gambia	female	AFR
HG02625	GB32	GWD	Gambian in Western Division, The Gambia	male	AFR
HG02571	GB21	GWD	Gambian in Western Division, The Gambia	female	AFR
HG02572	GB21	GWD	Gambian in Western Division, The Gambia	male	AFR
HG02573	GB22	GWD	Gambian in Western Division, The Gambia	male	AFR
HG02574	GB22	GWD	Gambian in Western Division, The Gambia	female	AFR
HG02635	GB35	GWD	Gambian in Western Division, The Gambia	female	AFR
HG02852	GB78	GWD	Gambian in Western Division, The Gambia	female	AFR
HG02853	GB78	GWD	Gambian in Western Division, The Gambia	male	AFR
HG02854	GB79	GWD	Gambian in Western Division, The Gambia	male	AFR
HG02722	GB52	GWD	Gambian in Western Division, The Gambia	female	AFR
HG02723	GB52	GWD	Gambian in Western Division, The Gambia	female	AFR
HG02646	GB38	GWD	Gambian in Western Division, The Gambia	female	AFR
HG02647	GB38	GWD	Gambian in Western Division, The Gambia	male	AFR
HG02464	GB16	GWD	Gambian in Western Division, The Gambia	male	AFR
HG02628	GB33	GWD	Gambian in Western Division, The Gambia	male	AFR
HG02629	GB33	GWD	Gambian in Western Division, The Gambia	female	AFR
HG02612	GB28	GWD	Gambian in Western Division, The Gambia	male	AFR
HG02676	GB43	GWD	Gambian in Western Division, The Gambia	female	AFR
HG02851	GB78	GWD	Gambian in Western Division, The Gambia	male	AFR
HG02799	GB60	GWD	Gambian in Western Division, The Gambia	female	AFR
HG02800	GB60	GWD	Gambian in Western Division, The Gambia	male	AFR
HG02804	GB62	GWD	Gambian in Western Division, The Gambia	male	AFR
HG02805	GB62	GWD	Gambian in Western Division, The Gambia	female	AFR
HG02884	GB89	GWD	Gambian in Western Division, The Gambia	male	AFR
HG02885	GB89	GWD	Gambian in Western Division, The Gambia	female	AFR
HG02886	GB89	GWD	Gambian in Western Division, The Gambia	female	AFR
HG02887	GB90	GWD	Gambian in Western Division, The Gambia	male	AFR
HG02666	GB40	GWD	Gambian in Western Division, The Gambia	male	AFR
HG02667	GB40	GWD	Gambian in Western Division, The Gambia	female	AFR
HG02630	GB33	GWD	Gambian in Western Division, The Gambia	female	AFR
HG02634	GB35	GWD	Gambian in Western Division, The Gambia	male	AFR
HG02798	GB60	GWD	Gambian in Western Division, The Gambia	male	AFR
HG02895	GB93	GWD	Gambian in Western Division, The Gambia	male	AFR
HG02896	GB93	GWD	Gambian in Western Division, The Gambia	female	AFR
HG02897	GB93	GWD	Gambian in Western Division, The Gambia	female	AFR
HG02817	GB66	GWD	Gambian in Western Division, The Gambia	female	AFR
HG02770	GB57	GWD	Gambian in Western Division, The Gambia	female	AFR
HG02771	GB58	GWD	Gambian in Western Division, The Gambia	male	AFR
HG02772	GB58	GWD	Gambian in Western Division, The Gambia	female	AFR
HG02773	GB58	GWD	Gambian in Western Division, The Gambia	male	AFR
HG02888	GB90	GWD	Gambian in Western Division, The Gambia	female	AFR
HG02889	GB90	GWD	Gambian in Western Division, The Gambia	female	AFR
HG02668	GB40	GWD	Gambian in Western Division, The Gambia	male	AFR
HG02675	GB43	GWD	Gambian in Western Division, The Gambia	male	AFR
HG02892	GB91	GWD	Gambian in Western Division, The Gambia	male	AFR
HG02704	GB45	GWD	Gambian in Western Division, The Gambia	female	AFR
HG02715	GB50	GWD	Gambian in Western Division, The Gambia	male	AFR
HG02716	GB50	GWD	Gambian in Western Division, The Gambia	female	AFR
HG02596	GB27	GWD	Gambian in Western Division, The Gambia	male	AFR
HG02855	GB79	GWD	Gambian in Western Division, The Gambia	female	AFR
HG02856	GB79	GWD	Gambian in Western Division, The Gambia	male	AFR
HG02462	GB15	GWD	Gambian in Western Division, The Gambia	female	AFR
HG02463	GB15	GWD	Gambian in Western Division, The Gambia	male	AFR
HG02862	GB81	GWD	Gambian in Western Division, The Gambia	female	AFR
HG02869	GB84	GWD	Gambian in Western Division, The Gambia	male	AFR
HG02890	GB91	GWD	Gambian in Western Division, The Gambia	male	AFR
HG02891	GB91	GWD	Gambian in Western Division, The Gambia	female	AFR
HG02611	GB28	GWD	Gambian in Western Division, The Gambia	female	AFR
HG02879	GB87	GWD	Gambian in Western Division, The Gambia	female	AFR
HG02880	GB87	GWD	Gambian in Western Division, The Gambia	female	AFR
HG02881	GB88	GWD	Gambian in Western Division, The Gambia	male	AFR
HG02882	GB88	GWD	Gambian in Western Division, The Gambia	female	AFR
HG02883	GB88	GWD	Gambian in Western Division, The Gambia	male	AFR
HG02561	GB18	GWD	Gambian in Western Division, The Gambia	male	AFR
HG02562	GB18	GWD	Gambian in Western Division, The Gambia	female	AFR
HG02756	GB53	GWD	Gambian in Western Division, The Gambia	male	AFR
HG02757	GB53	GWD	Gambian in Western Division, The Gambia	female	AFR
HG02758	GB53	GWD	Gambian in Western Division, The Gambia	female	AFR
HG02870	GB84	GWD	Gambian in Western Division, The Gambia	female	AFR
HG02871	GB84	GWD	Gambian in Western Division, The Gambia	female	AFR
HG02761	GB54	GWD	Gambian in Western Division, The Gambia	female	AFR
HG02762	GB55	GWD	Gambian in Western Division, The Gambia	male	AFR
HG02763	GB55	GWD	Gambian in Western Division, The Gambia	female	AFR
HG02764	GB55	GWD	Gambian in Western Division, The Gambia	male	AFR
HG02636	GB35	GWD	Gambian in Western Division, The Gambia	male	AFR
HG02815	GB65	GWD	Gambian in Western Division, The Gambia	male	AFR
HG02818	GB66	GWD	Gambian in Western Division, The Gambia	female	AFR
HG02819	GB67	GWD	Gambian in Western Division, The Gambia	male	AFR
HG02820	GB67	GWD	Gambian in Western Division, The Gambia	female	AFR
HG02821	GB67	GWD	Gambian in Western Division, The Gambia	male	AFR
HG02836	GB73	GWD	Gambian in Western Division, The Gambia	male	AFR
HG02759	GB54	GWD	Gambian in Western Division, The Gambia	male	AFR
HG02760	GB54	GWD	Gambian in Western Division, The Gambia	female	AFR
HG02702	GB45	GWD	Gambian in Western Division, The Gambia	male	AFR
HG02703	GB45	GWD	Gambian in Western Division, The Gambia	female	AFR
HG02590	GB25	GWD	Gambian in Western Division, The Gambia	male	AFR
HG02594	GB27	GWD	Gambian in Western Division, The Gambia	male	AFR
HG02595	GB27	GWD	Gambian in Western Division, The Gambia	female	AFR
HG03026	GB105	GWD	Gambian in Western Division, The Gambia	female	AFR
HG03027	GB106	GWD	Gambian in Western Division, The Gambia	male	AFR
HG03028	GB106	GWD	Gambian in Western Division, The Gambia	female	AFR
HG02860	GB81	GWD	Gambian in Western Division, The Gambia	male	AFR
HG02861	GB81	GWD	Gambian in Western Division, The Gambia	female	AFR
HG03540	GB125	GWD	Gambian in Western Division, The Gambia	female	AFR
HG03039	GB110	GWD	Gambian in Western Division, The Gambia	male	AFR
HG03040	GB110	GWD	Gambian in Western Division, The Gambia	female	AFR
HG03041	GB110	GWD	Gambian in Western Division, The Gambia	female	AFR
HG02878	GB87	GWD	Gambian in Western Division, The Gambia	male	AFR
HG03047	GB112	GWD	Gambian in Western Division, The Gambia	female	AFR
HG03048	GB113	GWD	Gambian in Western Division, The Gambia	male	AFR
HG03049	GB113	GWD	Gambian in Western Division, The Gambia	female	AFR
HG03050	GB113	GWD	Gambian in Western Division, The Gambia	male	AFR
HG03246	GB116	GWD	Gambian in Western Division, The Gambia	male	AFR
HG03247	GB116	GWD	Gambian in Western Division, The Gambia	female	AFR
HG03248	GB116	GWD	Gambian in Western Division, The Gambia	male	AFR
HG03249	GB117	GWD	Gambian in Western Division, The Gambia	male	AFR
HG02808	GB63	GWD	Gambian in Western Division, The Gambia	female	AFR
HG02809	GB63	GWD	Gambian in Western Division, The Gambia	female	AFR
HG02810	GB64	GWD	Gambian in Western Division, The Gambia	male	AFR
HG03259	GB120	GWD	Gambian in Western Division, The Gambia	female	AFR
HG03260	GB120	GWD	Gambian in Western Division, The Gambia	male	AFR
HG02812	GB64	GWD	Gambian in Western Division, The Gambia	male	AFR
HG02813	GB65	GWD	Gambian in Western Division, The Gambia	male	AFR
HG02814	GB65	GWD	Gambian in Western Division, The Gambia	female	AFR
HG03025	GB105	GWD	Gambian in Western Division, The Gambia	female	AFR
HG03241	GB114	GWD	Gambian in Western Division, The Gambia	female	AFR
HG02816	GB66	GWD	Gambian in Western Division, The Gambia	male	AFR
HG02837	GB73	GWD	Gambian in Western Division, The Gambia	female	AFR
HG03538	GB125	GWD	Gambian in Western Division, The Gambia	male	AFR
HG03539	GB125	GWD	Gambian in Western Division, The Gambia	female	AFR
HG03035	GB108	GWD	Gambian in Western Division, The Gambia	male	AFR
HG02841	GB74	GWD	Gambian in Western Division, The Gambia	female	AFR
HG02838	GB73	GWD	Gambian in Western Division, The Gambia	male	AFR
HG02839	GB74	GWD	Gambian in Western Division, The Gambia	male	AFR
HG02840	GB74	GWD	Gambian in Western Division, The Gambia	female	AFR
HG03242	GB114	GWD	Gambian in Western Division, The Gambia	male	AFR
HG03024	GB105	GWD	Gambian in Western Division, The Gambia	male	AFR
HG03240	GB114	GWD	Gambian in Western Division, The Gambia	male	AFR
HG03258	GB120	GWD	Gambian in Western Division, The Gambia	male	AFR
HG03029	GB106	GWD	Gambian in Western Division, The Gambia	male	AFR
HG03034	GB108	GWD	Gambian in Western Division, The Gambia	female	AFR
HG03251	GB117	GWD	Gambian in Western Division, The Gambia	female	AFR
HG02585	GB24	GWD	Gambian in Western Division, The Gambia	male	AFR
HG03045	GB112	GWD	Gambian in Western Division, The Gambia	male	AFR
HG03046	GB112	GWD	Gambian in Western Division, The Gambia	female	AFR
HG02610	GB28	GWD	Gambian in Western Division, The Gambia	male	AFR
HG02984	GB97	GWD	Gambian in Western Division, The Gambia	male	AFR
HG02586	GB24	GWD	Gambian in Western Division, The Gambia	female	AFR
HG02982	GB97	GWD	Gambian in Western Division, The Gambia	male	AFR
HG03250	GB117	GWD	Gambian in Western Division, The Gambia	female	AFR
HG03033	GB108	GWD	Gambian in Western Division, The Gambia	male	AFR
HG02589	GB25	GWD	Gambian in Western Division, The Gambia	female	AFR
HG02811	GB64	GWD	Gambian in Western Division, The Gambia	female	AFR
HG02983	GB97	GWD	Gambian in Western Division, The Gambia	female	AFR
HG02588	GB25	GWD	Gambian in Western Division, The Gambia	male	AFR
HG02587	GB24	GWD	Gambian in Western Division, The Gambia	female	AFR
HG01501	IBS001	IBS	Iberian populations in Spain	female	EUR
HG01503	IBS002	IBS	Iberian populations in Spain	male	EUR
HG01504	IBS002	IBS	Iberian populations in Spain	female	EUR
HG01522	IBS008	IBS	Iberian populations in Spain	female	EUR
HG01527	IBS010	IBS	Iberian populations in Spain	male	EUR
HG01520	IBS007	IBS	Iberian populations in Spain	female	EUR
HG01516	IBS006	IBS	Iberian populations in Spain	female	EUR
HG01500	IBS001	IBS	Iberian populations in Spain	male	EUR
HG01518	IBS007	IBS	Iberian populations in Spain	male	EUR
HG01519	IBS007	IBS	Iberian populations in Spain	female	EUR
HG01536	IBS013	IBS	Iberian populations in Spain	male	EUR
HG01517	IBS006	IBS	Iberian populations in Spain	female	EUR
HG01538	IBS013	IBS	Iberian populations in Spain	female	EUR
HG01523	IBS008	IBS	Iberian populations in Spain	male	EUR
HG01524	IBS009	IBS	Iberian populations in Spain	male	EUR
HG01525	IBS009	IBS	Iberian populations in Spain	female	EUR
HG01526	IBS009	IBS	Iberian populations in Spain	male	EUR
HG01783	IBS053	IBS	Iberian populations in Spain	male	EUR
HG01502	IBS001	IBS	Iberian populations in Spain	male	EUR
HG01785	IBS054	IBS	Iberian populations in Spain	male	EUR
HG01786	IBS054	IBS	Iberian populations in Spain	female	EUR
HG01787	IBS054	IBS	Iberian populations in Spain	female	EUR
HG01505	IBS002	IBS	Iberian populations in Spain	male	EUR
HG01506	IBS003	IBS	Iberian populations in Spain	male	EUR
HG01507	IBS003	IBS	Iberian populations in Spain	female	EUR
HG01508	IBS003	IBS	Iberian populations in Spain	male	EUR
HG01509	IBS004	IBS	Iberian populations in Spain	male	EUR
HG01510	IBS004	IBS	Iberian populations in Spain	female	EUR
HG01511	IBS004	IBS	Iberian populations in Spain	female	EUR
HG01512	IBS005	IBS	Iberian populations in Spain	male	EUR
HG01513	IBS005	IBS	Iberian populations in Spain	female	EUR
HG01784	IBS053	IBS	Iberian populations in Spain	female	EUR
HG01515	IBS006	IBS	Iberian populations in Spain	male	EUR
HG01755	IBS044	IBS	Iberian populations in Spain	female	EUR
HG01756	IBS044	IBS	Iberian populations in Spain	male	EUR
HG01757	IBS044	IBS	Iberian populations in Spain	female	EUR
HG01761	IBS046	IBS	Iberian populations in Spain	male	EUR
HG01762	IBS046	IBS	Iberian populations in Spain	female	EUR
HG01521	IBS008	IBS	Iberian populations in Spain	male	EUR
HG01675	IBS027	IBS	Iberian populations in Spain	male	EUR
HG01676	IBS028	IBS	Iberian populations in Spain	female	EUR
HG01677	IBS028	IBS	Iberian populations in Spain	female	EUR
HG01678	IBS028	IBS	Iberian populations in Spain	male	EUR
HG01679	IBS029	IBS	Iberian populations in Spain	female	EUR
HG01680	IBS029	IBS	Iberian populations in Spain	male	EUR
HG01528	IBS010	IBS	Iberian populations in Spain	female	EUR
HG01529	IBS010	IBS	Iberian populations in Spain	male	EUR
HG01530	IBS011	IBS	Iberian populations in Spain	male	EUR
HG01531	IBS011	IBS	Iberian populations in Spain	female	EUR
HG01532	IBS011	IBS	Iberian populations in Spain	male	EUR
HG01686	IBS031	IBS	Iberian populations in Spain	male	EUR
HG01537	IBS013	IBS	Iberian populations in Spain	female	EUR
HG01694	IBS034	IBS	Iberian populations in Spain	male	EUR
HG01695	IBS034	IBS	Iberian populations in Spain	female	EUR
HG01696	IBS034	IBS	Iberian populations in Spain	male	EUR
HG01697	IBS035	IBS	Iberian populations in Spain	female	EUR
HG01698	IBS035	IBS	Iberian populations in Spain	male	EUR
HG01699	IBS035	IBS	Iberian populations in Spain	male	EUR
HG01700	IBS036	IBS	Iberian populations in Spain	male	EUR
HG01701	IBS036	IBS	Iberian populations in Spain	male	EUR
HG01702	IBS036	IBS	Iberian populations in Spain	female	EUR
HG01703	IBS037	IBS	Iberian populations in Spain	male	EUR
HG01704	IBS037	IBS	Iberian populations in Spain	female	EUR
HG01705	IBS037	IBS	Iberian populations in Spain	male	EUR
HG01706	IBS038	IBS	Iberian populations in Spain	female	EUR
HG01707	IBS038	IBS	Iberian populations in Spain	female	EUR
HG01708	IBS038	IBS	Iberian populations in Spain	male	EUR
HG01709	IBS039	IBS	Iberian populations in Spain	male	EUR
HG01710	IBS039	IBS	Iberian populations in Spain	female	EUR
HG01711	IBS039	IBS	Iberian populations in Spain	female	EUR
HG01746	IBS041	IBS	Iberian populations in Spain	female	EUR
HG01514	IBS005	IBS	Iberian populations in Spain	female	EUR
HG01748	IBS041	IBS	Iberian populations in Spain	male	EUR
HG01668	IBS025	IBS	Iberian populations in Spain	female	EUR
HG01669	IBS025	IBS	Iberian populations in Spain	male	EUR
HG01670	IBS026	IBS	Iberian populations in Spain	female	EUR
HG01671	IBS026	IBS	Iberian populations in Spain	male	EUR
HG01672	IBS026	IBS	Iberian populations in Spain	male	EUR
HG01763	IBS046	IBS	Iberian populations in Spain	female	EUR
HG01764	IBS047	IBS	Iberian populations in Spain	female	EUR
HG01765	IBS047	IBS	Iberian populations in Spain	male	EUR
HG01766	IBS047	IBS	Iberian populations in Spain	female	EUR
HG01767	IBS048	IBS	Iberian populations in Spain	male	EUR
HG01768	IBS048	IBS	Iberian populations in Spain	female	EUR
HG01769	IBS048	IBS	Iberian populations in Spain	female	EUR
HG01681	IBS029	IBS	Iberian populations in Spain	female	EUR
HG01682	IBS030	IBS	Iberian populations in Spain	male	EUR
